type,stock_locate,tracking_number,timestamp,order_ref_number,executed_shares,match_num
E,2884,2,25200072005692,14,67,17699
E,2884,2,25220627999791,542,95,17700
E,2884,2,25238859733711,630,95,17701
E,2884,2,25247319511345,714,95,17702
E,2884,2,25256618663854,758,78,17703
E,2884,2,25281304748810,1058,60,17704
E,1142,2,25486641725678,34961,100,17705
E,1142,2,25493156741448,35117,8,17706
E,1142,2,25521548808402,35581,89,17707
E,1142,2,25610974376323,36497,100,17708
E,8842,2,26108158956079,26388,200,17709
E,8842,2,27301027674463,77828,17,17713
E,8842,2,27305032972988,77828,18,17714
E,8842,2,27309037935791,77828,19,17715
E,8842,2,27313043888222,77828,20,17716
E,8842,2,27315048584876,77828,21,17717
E,8842,2,27317053621216,77828,5,17718
E,8842,4,27317053621216,77832,17,17719
E,8842,2,27319058646220,77832,23,17720
E,8842,2,27321063659065,77832,24,17721
E,8842,2,27323068743088,77832,25,17722
E,8842,2,27325073970551,77832,11,17723
E,8842,4,27325073970551,77836,15,17724
E,8842,2,27327078809891,77836,27,17725
E,8842,2,27329083813708,77836,28,17726
E,8842,2,27331088902060,77836,29,17727
E,8842,2,27333093385466,77836,1,17728
E,8842,4,27333093385466,77840,29,17729
E,2034,2,27586946178935,71869,12,17730
E,118,2,27828823046424,48625,800,17731
E,7968,2,28180932000158,120136,100,17735
E,1142,2,28191894617104,82949,100,17736
E,6130,2,28373421552220,56119,25,17738
E,7968,2,28615281006995,135172,213,17739
E,7968,2,28697205542389,135636,400,17740
E,8107,2,28833547216112,149164,300,17743
E,2234,2,28889399531533,97577,6900,17745
E,2005,2,29105114418657,110745,100,17757
E,6104,2,29116846447789,68603,200,17758
E,7968,2,29304536281962,190308,400,17764
E,7968,2,29594827563429,215512,60,17775
E,2234,2,29694244434197,134381,2,17778
E,8842,2,29771042208369,231924,100,17782
E,8842,2,29771070184441,231928,100,17783
E,8842,2,29771078933940,231932,100,17784
E,8842,2,29771090731430,231936,100,17785
E,8842,2,29771105980619,231948,100,17786
E,8321,2,30089417315568,265148,250,17792
E,337,2,30492222566855,172677,100,17800
E,337,2,30546080795364,174741,100,17802
E,337,2,30546161854084,174757,60,17803
E,337,2,30546161902488,174757,40,17804
E,337,2,30546303387554,174793,100,17808
E,337,2,30546317283082,174805,20,17809
E,337,2,30546322354997,174805,20,17810
E,337,2,30565081677528,175389,100,17811
E,337,2,30565256773423,175509,100,17812
E,337,2,30565558925913,175537,100,17813
E,337,2,30565630032703,175573,100,17814
E,7968,2,30589476087144,321424,1,17815
E,8321,2,30595711483787,320044,200,17816
E,337,2,30596125775904,176605,100,17817
E,337,2,30597022626477,176605,462,17818
E,337,2,30597436202424,176605,291,17819
E,337,2,30597436360118,176933,111,17820
E,337,2,30601437327132,177325,100,17821
E,8842,2,30673697487201,345276,100,17823
E,1142,2,30741988906454,188457,50,17824
E,1142,2,30743926373559,188709,65,17825
E,1142,2,30743929359036,188721,10,17826
E,1142,2,30745097450753,188721,100,17827
E,337,2,30752051618870,189157,100,17828
E,337,2,30752780583779,189193,100,17829
E,337,2,30753264950988,189257,100,17830
E,7397,2,30830740605438,382148,200,17832
E,7397,2,30944066623902,414516,200,17834
E,7397,2,30951534758235,414472,200,17835
E,7397,2,30961885767577,418836,100,17838
E,7397,2,30971543261623,418844,200,17839
