type,stock_locate,tracking_number,timestamp,order_ref_number,buy_or_sell,shares,stock,price,match_num
P,8209,2,27045054456350,0,B,100,UVXY,24.59,17710
P,7968,2,27175804156978,0,B,100,TVIX,13.56,17711
P,7968,2,27201973878733,0,B,100,TVIX,13.56,17712
P,8066,2,27851907966439,0,B,100,UGAZ,12.65,17732
P,8209,2,27944719884154,0,B,100,UVXY,24.75,17733
P,8209,2,27997711443541,0,B,100,UVXY,24.76,17734
P,192,2,28289821353527,0,B,100,AGQ,28.43,17737
P,8066,2,28803181165465,0,B,100,UGAZ,12.69,17741
P,8066,2,28803184407645,0,B,100,UGAZ,12.69,17742
P,8209,2,28847203323425,0,B,100,UVXY,24.76,17744
P,2011,2,28893513146428,0,B,100,DGLD,34.28,17746
P,2011,2,28898153956490,0,B,100,DGLD,34.32,17747
P,2011,2,28898929518848,0,B,100,DGLD,34.32,17748
P,2011,2,28905163410182,0,B,100,DGLD,34.33,17749
P,192,2,28922013682759,0,B,100,AGQ,28.38,17750
P,8066,2,28957941179443,0,B,400,UGAZ,12.73,17751
P,2005,2,28964854012208,0,B,100,DGAZ,186.71,17752
P,5702,2,29011675305218,0,B,1,NVDA,173.06,17753
P,8066,2,29035855137804,0,B,400,UGAZ,12.57,17754
P,2005,2,29035855184980,0,B,100,DGAZ,189.23,17755
P,4641,2,29035855318480,0,B,200,KOLD,34.31,17756
P,687,2,29138683628419,0,B,1,BA,338.14,17759
P,6130,2,29149640182017,0,B,100,PG,121.06,17760
P,6722,2,29165059140894,0,B,100,RL,117.01,17761
P,8011,2,29234654832512,0,B,6,UAA,24.06,17762
P,6130,2,29253016601692,0,B,5,PG,121.31,17763
P,2005,2,29313971874844,0,B,100,DGAZ,191.48,17765
P,5289,2,29339149883372,0,B,50,MSFT,139.986,17766
P,8010,2,29400726838801,0,B,100,UA,21.45,17767
P,5498,2,29447801501092,0,B,1,NFLX,329.15,17768
P,8066,2,29458924244695,0,B,100,UGAZ,12.47,17769
P,8066,2,29458924250676,0,B,100,UGAZ,12.47,17770
P,8010,2,29477280801459,0,B,50,UA,21.63,17771
P,5702,2,29515798144982,0,B,2,NVDA,173.11,17772
P,6130,2,29532623124884,0,B,11,PG,121.29,17773
P,8066,2,29533262973032,0,B,900,UGAZ,12.49,17774
P,4472,2,29627944630974,0,B,35,JNUG,82.08,17776
P,6130,2,29681073146096,0,B,100,PG,121.151,17777
P,8066,2,29736073828009,0,B,100,UGAZ,12.49,17779
P,8066,2,29736073836587,0,B,100,UGAZ,12.49,17780
P,5498,2,29769301289772,0,B,50,NFLX,329.424,17781
P,8010,2,29795628755283,0,B,50,UA,21.74,17787
P,8044,2,30015816813774,0,B,100,UCO,18.67,17789
P,5498,2,30057617869583,0,B,2,NFLX,329.69,17790
P,8066,2,30058202569899,0,B,100,UGAZ,12.56,17791
P,8066,2,30113489545248,0,B,600,UGAZ,12.54,17793
P,8066,2,30113489550555,0,B,100,UGAZ,12.54,17794
P,1094,2,30265629311274,0,B,3,BTI,36.63,17795
P,8066,2,30317457756339,0,B,250,UGAZ,12.56,17796
P,8321,2,30399128189500,0,B,100,VIXY,18.31,17797
P,8321,4,30399128189500,0,B,100,VIXY,18.31,17798
P,8321,6,30399128189500,0,B,100,VIXY,18.31,17799
P,337,4,30492222566855,0,B,900,AMD,33.59,17801
P,337,4,30546161902488,0,B,60,AMD,33.56,17805
P,337,2,30546161971632,0,B,100,AMD,33.56,17806
P,337,2,30546162059234,0,B,100,AMD,33.56,17807
P,5702,2,30603902327072,0,B,2,NVDA,173.972,17822
P,2741,2,30765800356929,0,B,100,FB,194.02,17831
P,8682,2,30862750406406,0,B,100,XLE,62.23,17833
P,8794,2,30955017896696,0,B,25,ZBRA,206.0,17836
P,7397,2,30955179816780,0,B,10,SPY,300.09,17837
P,337,2,31076769735178,0,B,4,AMD,33.51,17840
P,4184,2,31082287505026,0,B,100,INTC,51.64,17841
