type,stock_locate,tracking_number,timestamp,order_ref_number,cancelled_shares
X,1955,0,26249341207658,31337,200
X,2034,0,27101347629997,61021,200
X,7968,0,28615281156889,95516,187
X,7770,0,28996648904536,165504,1800
X,2662,0,29055372117862,63274,4000
X,7770,0,29062407890740,172232,1800
X,7770,0,29096100607008,146740,1800
X,7770,0,29105045774098,174636,1800
X,7770,0,29109054823965,174636,1800
X,2662,0,29133316254027,81062,3000
X,7770,0,29202033848985,187292,3600
X,7770,0,29653554819301,166344,1800
X,7770,0,29779283370010,159308,1800
X,7770,0,29787769804132,232520,3600
X,7770,0,29908642483777,240444,1800
X,7770,0,29962291889200,240444,1800
X,7770,0,30134393400822,240444,1800
X,7770,0,30173635052629,240444,1800
X,7770,0,30238914217012,276672,1800
X,7770,0,30444103538038,272776,1800
X,8749,0,30601605269171,323380,200
X,2034,0,30616536182354,176685,300
X,2662,0,30709078853952,149110,4000
X,7770,0,30748546100516,359304,1800
X,7770,0,30774181836631,359304,1800
X,2662,0,30778788975671,158926,3000
X,7770,0,30797238809824,350324,1800
X,2662,0,30797806387374,163198,3000
X,7770,0,30822058828395,377132,1800
X,7770,0,30828419613994,381104,1800
X,7770,0,30830072701792,374396,1800
X,2662,0,30854996163618,171770,3000
X,2034,0,30994389080173,176689,200
X,2034,0,30994779471777,176689,400
X,2034,0,30994890400554,176689,300
X,2662,0,31025790690296,182474,3000
